event,column,row,timebin,adc,tdc,hit
0,2,27,6,159,0,0
0,2,27,7,159,0,0
0,2,28,0,162,0,0
0,2,28,1,162,0,0
0,2,28,2,161,0,0
0,2,28,3,161,0,0
0,2,28,4,161,0,0
0,2,28,5,160,0,0
0,2,28,6,161,0,0
0,2,28,7,161,0,0
0,2,29,0,153,0,0
0,2,29,1,153,0,0
0,2,29,2,153,0,0
0,2,29,3,154,0,0
0,2,29,4,154,0,0
0,2,29,5,154,0,0
0,2,29,6,154,0,0
0,2,29,7,153,0,0
0,2,30,0,148,0,0
0,2,30,1,149,0,0
0,2,30,2,150,0,0
0,2,30,3,150,0,0
0,2,30,4,150,0,0
0,2,30,5,150,0,0
0,2,30,6,150,0,0
0,2,30,7,149,0,0
0,2,31,0,159,0,0
0,2,31,1,159,0,0
0,2,31,2,159,0,0
0,2,31,3,159,0,0
0,2,31,4,158,0,0
0,2,31,5,158,0,0
0,2,31,6,158,0,0
0,2,31,7,158,0,0
0,3,0,0,153,0,0
0,3,0,1,154,0,0
0,3,0,2,156,0,0
0,3,0,3,155,0,0
0,3,0,4,155,0,0
0,3,0,5,155,0,0
0,3,0,6,155,0,0
0,3,0,7,155,0,0
0,3,1,0,159,0,0
0,3,1,1,160,0,0
0,3,1,2,160,0,0
0,3,1,3,161,0,0
0,3,1,4,162,0,0
0,3,1,5,161,0,0
0,3,1,6,161,0,0
0,3,1,7,160,0,0
0,3,2,0,159,0,0
0,3,2,1,160,0,0
0,3,2,2,160,0,0
0,3,2,3,161,0,0
0,3,2,4,161,0,0
0,3,2,5,161,0,0
0,3,2,6,161,0,0
0,3,2,7,160,0,0
0,3,3,0,167,0,0
0,3,3,1,168,0,0
0,3,3,2,168,0,0
0,3,3,3,169,0,0
0,3,3,4,170,0,0
0,3,3,5,170,0,0
0,3,3,6,170,0,0
0,3,3,7,170,0,0
0,3,4,0,158,0,0
0,3,4,1,159,0,0
0,3,4,2,159,0,0
0,3,4,3,160,0,0
